Source Name	Comment[original source name]	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[fraction]	Characteristics[protocol]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Factor Value[developmental stage]	Factor Value[age]	Unit[time unit]	Factor Value[phenotype]	Factor Value[protocol]
A16_TH_TOT_1	4861STDY7462257	ERS4228644	SAMEA6463139	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462257	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462257	sequencing assay	ERX3806129	4861STDY7462257.bam	4861STDY7462257.bam	ERR3804239	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804239/4861STDY7462257.bam	4861STDY7462257_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462257_R1.fastq.gz	4861STDY7462257_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462257_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_2	4861STDY7462258	ERS4228645	SAMEA6463140	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462258	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462258	sequencing assay	ERX3806130	4861STDY7462258.bam	4861STDY7462258.bam	ERR3804240	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804240/4861STDY7462258.bam	4861STDY7462258_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462258_R1.fastq.gz	4861STDY7462258_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462258_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_3	4861STDY7462259	ERS4228646	SAMEA6463141	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462259	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462259	sequencing assay	ERX3806131	4861STDY7462259.bam	4861STDY7462259.bam	ERR3804241	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804241/4861STDY7462259.bam	4861STDY7462259_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462259_R1.fastq.gz	4861STDY7462259_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462259_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_4	4861STDY7462260	ERS4228647	SAMEA6463142	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462260	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462260	sequencing assay	ERX3806132	4861STDY7462260.bam	4861STDY7462260.bam	ERR3804242	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804242/4861STDY7462260.bam	4861STDY7462260_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462260_R1.fastq.gz	4861STDY7462260_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462260_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5	4861STDY7462261	ERS4228648	SAMEA6463143	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462261	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462261	sequencing assay	ERX3806133	4861STDY7462261.bam	4861STDY7462261.bam	ERR3804243	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804243/4861STDY7462261.bam	4861STDY7462261_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462261_R1.fastq.gz	4861STDY7462261_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462261_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_6	4861STDY7462262	ERS4228649	SAMEA6463144	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462262	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462262	sequencing assay	ERX3806134	4861STDY7462262.bam	4861STDY7462262.bam	ERR3804244	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804244/4861STDY7462262.bam	4861STDY7462262_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462262_R1.fastq.gz	4861STDY7462262_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462262_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_7	4861STDY7462263	ERS4228650	SAMEA6463145	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462263	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462263	sequencing assay	ERX3806135	4861STDY7462263.bam	4861STDY7462263.bam	ERR3804245	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804245/4861STDY7462263.bam	4861STDY7462263_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462263_R1.fastq.gz	4861STDY7462263_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462263_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_8	4861STDY7462264	ERS4228651	SAMEA6463146	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7462264	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7462264	sequencing assay	ERX3806136	4861STDY7462264.bam	4861STDY7462264.bam	ERR3804246	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804246/4861STDY7462264.bam	4861STDY7462264_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462264_R1.fastq.gz	4861STDY7462264_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7462264_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_1	4861STDY7528585	ERS4228652	SAMEA6463147	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528585	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	96	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528585	sequencing assay	ERX3806137	4861STDY7528585.bam	4861STDY7528585.bam	ERR3804247	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804247/4861STDY7528585.bam	4861STDY7528585_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528585_R1.fastq.gz	4861STDY7528585_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528585_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_2	4861STDY7528586	ERS4228653	SAMEA6463148	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528586	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528586	sequencing assay	ERX3806138	4861STDY7528586.bam	4861STDY7528586.bam	ERR3804248	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804248/4861STDY7528586.bam	4861STDY7528586_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528586_R1.fastq.gz	4861STDY7528586_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528586_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
